nombre,biografia,oyentes,reproducciones,similares
Bracket," <a href=""https://www.last.fm/music/Bracket"">Read more on Last.fm</a>",82063,992378,"['Diesel Boy', ""Swingin' Utters"", 'Frenzal Rhomb', 'Down By Law', 'No Use for a Name']"
DJ Fresca," <a href=""https://www.last.fm/music/DJ+Fresca"">Read more on Last.fm</a>",574,1542,"['DJ Sumthyn Black Ft. Ntsiki Mazwai', ""L'vovo Derrango"", 'Dj Steavy', 'DJ Cleo', 'DJ Bongz']"
Yuri Da cunha," <a href=""https://www.last.fm/music/Yuri+Da+cunha"">Read more on Last.fm</a>",5733,42176,"['Heavy C', 'Rei Helder', 'Bruna Tatiana', 'Zona 5', 'Nsoki']"
Kizz Daniel,"Oluwatobiloba Daniel Anidugbe, mejor conocido como Kizz Daniel, es un cantante y compositor nigeriano. Saltó a la fama en el 2014 con su sencillo debut, ""Woju"". Firmó un contrato discográfico con G-Worldwide Entertainment en 2013, pero dejó el sello luego de una disputa contractual y un caso judicial publicitados. <a href=""https://www.last.fm/music/Kizz+Daniel"">Read more on Last.fm</a>",122454,1858256,"['Olamide', 'Young Jonn', 'Fireboy DML', 'Ruger', 'Davido']"
Jey V," <a href=""https://www.last.fm/music/Jey+V"">Read more on Last.fm</a>",4941,36018,"['Ricky Boy', 'Boy Teddy', 'Yudi Fox', 'Jay Oliver', 'Juvencio Luyiz']"
Daddy Killa," <a href=""https://www.last.fm/music/Daddy+Killa"">Read more on Last.fm</a>",1768,9496,"['Edalam', 'Papa Tank', 'Jamadom', 'Laskez', 'Daddy Mory']"
Grupo Extra," <a href=""https://www.last.fm/music/Grupo+Extra"">Read more on Last.fm</a>",40227,416268,"['Dani J', 'Prince Royce', 'Romeo Santos', 'Leslie Grace', 'Reik']"
Tony Allen,"Percusionista, letrista y compositor, Toni Oladipo Allen nació en Lagos en 1940, se integró en el circuito musical nigeriano desde los 18 años y trabajó como director musical de la banda de Fela, lo que le convierte por derecho propio en cofundador del afrobeat. ""Eso que hoy llamamos afrobeat no existiría sin Tony"", resaltaba el patriarca de los Kuti cada vez que le preguntaban al respecto. Tras la experiencia iniciática del afrobeat, en los años 70 <a href=""https://www.last.fm/music/Tony+Allen"">Read more on Last.fm</a>",290218,2570302,"['Fela Kuti', 'Ebo Taylor', 'Femi Kuti', 'Manu Dibango', 'The Souljazz Orchestra']"
Landrick," <a href=""https://www.last.fm/music/Landrick"">Read more on Last.fm</a>",7940,81093,"['Djodje', 'Yudi Fox', 'C4 Pedro', 'Jay Oliver', 'Juvencio Luyiz']"
Calema," <a href=""https://www.last.fm/music/Calema"">Read more on Last.fm</a>",38660,637134,"['Nuno Ribeiro', 'Anselmo Ralph', 'Badoxa', 'Lisandro Cuxi', 'Nelson Freitas']"
Skales," <a href=""https://www.last.fm/music/Skales"">Read more on Last.fm</a>",54565,369757,"['P-Square', 'Flavour', 'Yemi Alade', 'Davido', 'Tekno']"
Ebo Taylor,"Ebo Taylor nació en Ghana en 1936. Entre los 50´y 60´fue sensación en Ghana a la cabeza de ""The Stargazers Dance Band"" como también en ""The Broadway Band"". Entre 1962 y 1965 estudió en Londres en ""Eric Guilder School of Music"". Estando ahí compartió música y amistad con el nigeriano Fela Kuti. Perfeccionado en la guitarra al volver a Ghana dirige ""The Uhuru Band"", fuerte banda de Highlife a principios de los 70. También figura como productor de otras bandas del mismo lugar. <a href=""https://www.last.fm/music/Ebo+Taylor"">Read more on Last.fm</a>",190689,1693755,"['The Funkees', 'Fela Kuti', 'Marijata', 'Manu Dibango', 'Tony Allen']"
Tiwa Savage," <a href=""https://www.last.fm/music/Tiwa+Savage"">Read more on Last.fm</a>",198856,2163851,"['Adekunle GOLD', 'Fireboy DML', 'Davido', 'Kizz Daniel', 'Olamide']"
Burna Boy,"Damini Ebunoluwa Ogulu MFR, ​​ conocido profesionalmente como Burna Boy, es un cantante, compositor y productor discográfico nigeriano.​​​ Saltó al estrellato en 2012 después de lanzar ""Like to Party"", el sencillo principal de su álbum de estudio debut L.I.F.E <a href=""https://www.last.fm/music/Burna+Boy"">Read more on Last.fm</a>",765983,21978330,"['Asake', 'Wizkid', 'Davido', 'Fireboy DML', 'BNXN']"
Korede Bello," <a href=""https://www.last.fm/music/Korede+Bello"">Read more on Last.fm</a>",54660,390950,"['Tekno', 'Davido', 'Omah Lay', 'MAVINS', 'Reekado Banks']"
Dada KD," <a href=""https://www.last.fm/music/Dada+KD"">Read more on Last.fm</a>",378,4672,"['Oheneba Kissi', 'Daddy Lumba', 'Nana Acheampong', 'Kofi B', 'Daasebre Gyamenah']"
Kedjevara," <a href=""https://www.last.fm/music/Kedjevara"">Read more on Last.fm</a>",2319,15844,"['DJ Arafat', 'DJ Mix 1er', 'DJ Bonano', 'DJ Lewis', 'Douk Saga']"
Daduh King," <a href=""https://www.last.fm/music/Daduh+King"">Read more on Last.fm</a>",3072,16975,"['Jay Oliver', 'Jey V', 'Mona Nicastro', 'Yudi Fox', 'DREAM BOYZ']"
Rim Kwaku Obeng," <a href=""https://www.last.fm/music/Rim+Kwaku+Obeng"">Read more on Last.fm</a>",19464,85696,"['Christy Essien', 'Lijadu Sisters', 'Shina Williams & His African Percussionists', 'free youth', 'Kelenkye Band']"
Ifá," <a href=""https://www.last.fm/music/If%C3%A1"">Read more on Last.fm</a>",6939,23428,"['Abayomy Afrobeat Orquestra', 'Ifá Afrobeat', 'ÈKÓ Afrobeat', 'Iconili', 'Funmilayo Afrobeat Orquestra']"
Saaphy," <a href=""https://www.last.fm/music/Saaphy"">Read more on Last.fm</a>",1346,10060,"['Elji Beaztkilla', 'Nuxito', 'Elji Beatzkilla', 'Dj Puto X', 'Sheina']"
Serge Beynaud," <a href=""https://www.last.fm/music/Serge+Beynaud"">Read more on Last.fm</a>",6984,77025,"['Debordo Leekunfa', 'Bebi Philip', 'DJ Arafat', 'Kiff No Beat', 'Ariel Sheney']"
Leo beatz," <a href=""https://www.last.fm/music/Leo+beatz"">Read more on Last.fm</a>",915,4186,"[""Os'Banah"", 'Staff Paulo', 'Gaia Beat', 'Nerú Americano', 'Homeboyz Muzik']"
The Very Best,"Esta banda es la colaboración entre el malauí (de Malawi) Esau Mwamwaya y el duo británico Radio­clit, pero es el primero quien marca el ritmo de la banda. Su música está escrita en el idioma de Malawi, Chichewa, y los ritmos africanos están clara­mente presentes en sus canciones.

El primer trabajo de este grupo tan exótico se conoció hace un año, cuando se lanzó Esau Mwamwaya and Radioclit are the Very Best. Un mixtape gratuito de 15 canciones que incluía colaboraciones de otros artis­tas indies como M. <a href=""https://www.last.fm/music/The+Very+Best"">Read more on Last.fm</a>",136774,1727175,"['Amadou & Mariam', 'Delorean', 'Cut Copy', 'Holy Ghost!', 'The Go! Team']"
Roberto," <a href=""https://www.last.fm/music/Roberto"">Read more on Last.fm</a>",14353,124968,"['Exploit', 'Swisher', 'Mgk666', 'DZWS', 'Larisa']"
Fanga,"La revelación de 2010 podría proceder de Montpellier. Durante diez años, Fanga a evolucionado a través del afrobeat, el jazz y el funk, para hacer una música evidentemente espiritual. Fanga en dioula significa « fuerza de convicción » El compromiso del grupo se establece desde su nombre.

Reunión de personalidades y energías complementarias, Fanga inicia su andadura en 1989. De regreso de África, Serge Amiano trae algunos vinilos de Fela, que hace que escuche, el rapero procedente de Bukina-Fasso Korbo. <a href=""https://www.last.fm/music/Fanga"">Read more on Last.fm</a>",21714,107161,"['Kokolo', 'Chicago Afrobeat Project', 'Kokolo Afrobeat Orchestra', 'Aiff', 'Oscar Sulley & The Uhuru Dance Band']"
2Much," <a href=""https://www.last.fm/music/2Much"">Read more on Last.fm</a>",5843,49620,"['G-Amado', 'Ricky Boy', 'Big Nelo', 'Mika Mendes', 'Denis Graça']"
Orezi," <a href=""https://www.last.fm/music/Orezi"">Read more on Last.fm</a>",6671,44153,"['Dr Sid', 'Sean Tizzle', 'May D', 'Legendury Beatz', 'Harrysong']"
Pablo Fierro," <a href=""https://www.last.fm/music/Pablo+Fierro"">Read more on Last.fm</a>",26794,129727,"['Francis Mercier', 'Paji', 'Saison', 'Ahmed Spins', 'Solomun']"
Zona 5," <a href=""https://www.last.fm/music/Zona+5"">Read more on Last.fm</a>",8325,59065,"['TRX Music', 'Big Nelo', 'Rony Fuego', 'Anna Joyce', 'Mobbers']"
Gino Latino DJ," <a href=""https://www.last.fm/music/Gino+Latino+DJ"">Read more on Last.fm</a>",242,649,"['Jennifer Dias', 'Atım', 'Mykel Forever', 'Claudio Ismael', 'Sheina']"
Lylah," <a href=""https://www.last.fm/music/Lylah"">Read more on Last.fm</a>",3810,27120,"['Thayna', 'Lorenz', 'Priscillia', 'Milca', 'Kénédy']"
Iyanya,"Iyanya Onoyom Mbuk, conocido por su nombre artístico Iyanya, es un músico e intérprete nigeriano. Saltó a la fama después de ganar la primera temporada de Project Fame West Africa y es mejor conocido por su sencillo ""Kukere"".​​ Cofundó el sello discográfico Made Men Music Group con Ubi Franklin en 2011. <a href=""https://www.last.fm/music/Iyanya"">Read more on Last.fm</a>",30744,277338,"['P-Square', 'Timaya', 'RUNTOWN', 'Phyno', 'Ice Prince']"
Stonebwoy," <a href=""https://www.last.fm/music/Stonebwoy"">Read more on Last.fm</a>",31307,263047,"['Olivetheboy', 'Gyakie', 'Black Sherif', 'King Promise', 'Sarkodie']"
GASMILLA," <a href=""https://www.last.fm/music/GASMILLA"">Read more on Last.fm</a>",3396,26588,"['Castro D’destroyer', 'Keche', 'Bisa Kdei', 'SHATTA WALE', 'Guru NKZ']"
Flavour," <a href=""https://www.last.fm/music/Flavour"">Read more on Last.fm</a>",34830,468219,"['Phyno', 'P-Square', ""D'Banj"", 'Kizz Daniel', 'Kcee']"
Harrysong," <a href=""https://www.last.fm/music/Harrysong"">Read more on Last.fm</a>",7859,42477,"['Dr Sid', 'Selebobo', 'Orezi', 'Reminisce', 'Larry Gaaga']"
Pérola," <a href=""https://www.last.fm/music/P%C3%A9rola"">Read more on Last.fm</a>",2879,35982,"['Anna Joyce', 'As Gingas', 'Bruna Tatiana', 'Yola Semedo', 'Landrick']"
DJ Jimmy Jatt," <a href=""https://www.last.fm/music/DJ+Jimmy+Jatt"">Read more on Last.fm</a>",2818,17186,"['Larry Gaaga', 'Legendury Beatz', 'Reminisce', 'CDQ', 'Yonda']"
Sauti Sol," <a href=""https://www.last.fm/music/Sauti+Sol"">Read more on Last.fm</a>",23332,438505,"['Matata', 'Wakadinali', 'Nviiri The Storyteller', 'Chris Kaiga', 'Okello Max']"
Amakye Dede," <a href=""https://www.last.fm/music/Amakye+Dede"">Read more on Last.fm</a>",1497,18385,"['Daddy Lumba', 'Kojo Antwi', 'Nana Tuffour', 'Ofori Amponsah', 'Oheneba Kissi']"
Lil Kesh," <a href=""https://www.last.fm/music/Lil+Kesh"">Read more on Last.fm</a>",13129,147768,"['Olamide', 'Young Jonn', 'Bella Shmurda', 'Seyi Vibez', 'Zlatan']"
